SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
Cc1cc(C(=O)NNCc2ccccc2)no1,1.65,1.45,1.51
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.34,-1.58,-1.21
O=C(O)c1cccnc1,0.69,0.12,0.28
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,-0.69,-0.12,0.09
O=NN1CCOCC1,-1.03,-0.64,-0.22
NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.47,0.19,0.42
c1ccc(CC2=NCCN2)cc1,2.72,1.59,1.15
Nc1ccc(N=Nc2ccccc2)cc1,3.55,2.68,3.45
CN(C)c1ccc(N=Nc2ccccc2)cc1,4.64,3.21,4.36
OCCc1ccccc1,1.57,1.92,1.55
NC(Cc1ccc(F)cc1)C(=O)O,-1.3,1.67,1.16
NC(Cc1ccc(O)cc1)C(=O)O,-1.99,0.71,0.69
CN1CC(=O)NC1=N,-1.21,-0.74,-0.82
CCOCC,1.05,0.8,0.75
NCCCCCC(=O)O,-2.62,0.54,0.29
CCCCCC=CCC=CCCCCCCCC(=O)O,7.51,4.57,6.39
CNN,-2.13,-0.88,-0.6
CC(N)=O,-1.16,-0.79,-0.83
CNC(=O)CSP(=S)(OC)OC,0.94,-0.76,0.57
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.95,-1.65,-1.11
Cn1cc[nH]c1=S,-0.49,-0.32,-0.3
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-,-,-
Cc1cc(=O)n(-c2ccccc2)n1C,2.04,1.77,1.61
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.47,3.26,4.39
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,-3.59,-0.34,-2.06
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,5.04,3.16,4.51
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,4.63,2.93,4.06
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.18,1.36,1.24
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.61,1.82,1.31
NCCc1c[nH]c2ccccc12,1.62,1.49,1.55
O=C1NCCN1c1ncc([N+](=O)[O-])s1,0.42,-0.1,-0.01
Cc1cccc(Nc2ccccc2C(=O)O)c1C,4.27,3.47,3.96
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,3.53,2.44,2.46
CNCC(O)c1cccc(O)c1.Cl,-,-,-
Nc1ccc(C(=O)NCC(=O)O)cc1,-0.46,0.51,-0.04
Nc1nc2cc(Cl)ccc2o1,1.45,1.79,1.82
Nc1nc[nH]n1,-1.68,-0.23,-0.64
CC(C)CC(N)C(=O)O,-1.59,0.54,0.63
O=C(O)c1ccc([N+](=O)[O-])cc1,1.69,1.55,1.33
CCOc1ccc(NC(C)=O)cc1,1.67,1.68,1.28
Nc1ccccc1,1.08,1.51,1.08
CC(N)=S,-0.83,-0.32,0.07
NC(N)=S,-1.31,-1.43,-0.14
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.59,2.05,2
COP(=O)(OC)OC=C(Cl)Cl,0.6,1.25,0.47
CN(C)N=O,-0.64,-0.41,0.09
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,2.81,3.6,3.29
CNC(=O)Oc1cccc2ccccc12,2.35,3.03,2.5
CSCCC(N)C(=O)O,-2.41,0.16,-0.27
Nc1ccc(S(N)(=O)=O)cc1,-0.55,0.29,-0.09
COC(=O)C1=CCCN(C)C1,0.78,0.72,0.74
NC(Cc1ccccc1)C(=O)O,-1.51,1.25,0.96
NC(=O)NC(=O)Cc1ccccc1,-0.13,1.17,0.65
Cc1cccc(NC(N)=O)c1,1.25,1.6,1.23
CNC(=O)Oc1cccc(C(C)C)c1,2.63,2.92,2.79
NCCc1ccccc1,1.34,1.92,1.26
NC(=O)Nc1ccccc1,0.71,1.27,0.74
COc1ccc(CC(C)N)cc1,1.84,1.93,1.62
CCO,-0.14,-0.17,-0.01
O=CO,-1.18,-1.43,-0.52
CC(=O)O,0.09,-0.39,-0.23
CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.86,3.01,3.06
CCOS(=O)(=O)OCC,1.14,0.46,0.17
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.41,2.25,2.34
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.26,3.21,3.12
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,2.14,1.1,1.72
Cc1ncc(CO)c(CO)c1O,-0.56,-0.72,-0.51
NC(=O)c1ccccc1O,1.03,0.73,0.56
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,-0.89,-1.71,-2.4
Nc1ccc(C(=O)O)c(O)c1,2.1,0.59,0.42
Cc1c[nH]c(=O)[nH]c1=O,-0.32,-0.43,-0.57
O=C(O)c1ccccc1,1.87,1.7,1.43
O=C(O)c1cc(O)nc(O)n1,-1.14,-0.47,0.61
O=c1cc[nH]c(=O)[nH]1,-0.87,-0.84,-1.01
CCCCCC=O,1.8,1.44,1.85
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,0.49,2.09,1.34
c1cnc2c(c1)ccc1cccnc12,1.97,1.82,2.2
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,2.52,1.85,2.74
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.88,1.95,1.79
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.08,1.02,0.79
O=c1ccc2cc3ccoc3cc2o1,2.36,1.59,2.2
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,0.83,0.15,0.18
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,-0.4,0.97,0.97
Cc1cc(C)[nH]n1,1.15,0.5,0.7
O=C1CC(=O)NC(=O)N1,-0.08,-1.22,-1.05
CO,-0.63,-0.81,-0.36
CC(C)O,0.28,0.35,0.37
CC(C)=O,-0.23,0.2,-0.24
ClC(Cl)Cl,1.52,1.82,1.62
CS(C)=O,-1.22,-0.32,-0.32
CS(C)(=O)=O,-1.11,-0.9,-0.22
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.03,3.29,3.38
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.3,2.01,0.93
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.57,1.66,1.11
O=C(O)CS,0.03,-0.39,0.28
CN(C)C=O,-0.51,0.13,-0.37
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,3.31,3.83,4.18
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,7.62,4.53,5.32
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-0.34,0.89,0.82
ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1,5.8,5.21,4.89
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.83,-0.68,-0.82
O=c1[nH]cnc2nc[nH]c12,-2.19,-0.5,-0.4
