SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CNC(=O)ON=CC(C)(C)[N+](=O)[O-],-2.09,0.93,0.53
COc1cc(Cl)c(Cl)cc1Cl,4.01,3.62,3.81
CC1(C)CCCC(C)(C)N1N=O,2.46,1.96,2.17
CNC(=O)Oc1cccc([N+](=O)[O-])c1,0.99,1.92,1.49
Cn1c(=O)[nH]c2nc[nH]c2c1=O,-0.33,-0.49,-0.51
CC(=O)c1cccc(C#N)c1,1.22,1.18,1.45
CC(=O)c1ccccc1NC(=O)C(Cl)Cl,1.85,1.9,1.88
CSc1ncc2ccccc2n1,1.66,1.86,2.45
O=[N+]([O-])c1ccc2[nH]ccc2c1,1.87,1.51,2.02
COc1cccc(C2C(=O)c3ccccc3C2=O)c1,2.47,2.29,2.8
COC(=O)c1cc(=O)[nH]c(=O)[nH]1,0.5,-0.89,-0.93
O=[N+]([O-])c1nc(Br)[nH]c1Br,1.66,1.25,1.7
CN(C)c1ccc(S(N)(=O)=O)cc1,0.55,0.98,0.82
COC(=O)c1nccnc1C(=O)OC,-0.39,-0.57,0.1
COC(=O)c1cnccn1,-0.22,-0.69,-0.19
Cc1cc(Cl)ccc1N=CN(C)C,1.53,3.21,2.62
NC(=O)Nc1cccc(OCC(=O)O)c1,0.04,0.55,0.39
CCOC(=O)C(C(=O)OCC)=C(C(=O)OCC)C(=O)OCC,5.44,1.13,1.52
COc1cc(C=C[N+](=O)[O-])ccc1O,1.55,1.39,1.53
CC(C)Nc1nc(N)nc(Cl)n1,1.78,1.53,1.67
COc1cccc(OC)n1,1.88,0.83,1.72
COc1ccc2nc(N)[nH]c2c1,0.4,0.98,1.12
CCOC(=O)NNc1ccccc1,1.88,2.33,1.84
O=[N+]([O-])c1ccc(C=NO)o1,1.14,-0.12,0.57
O=C(NCCO)c1cccnc1,-0.96,-0.41,-0.65
CCC1(CCC(C)C)C(=O)NC(=O)N(C)C1=O,2.4,1.44,2.11
O=c1cncc[nH]1,-1.02,-1.25,-1.35
O=C(O)c1ccc(Cl)cc1[N+](=O)[O-],2.34,2.15,1.99
O=C(O)C=Cc1ccc([N+](=O)[O-])o1,1.26,0.52,1.32
O=C(NCO)c1ccccc1,-0.26,1.6,0.48
Nc1cc([N+](=O)[O-])ccc1Cl,1.54,1.88,1.64
Cc1ccc2nc(N)[nH]c2c1,0.86,1.52,1.63
CCCCOC(=O)C(N)Cc1ccc(O)cc1,1.8,1.85,2.27
CC1=CC(=O)C=C(Br)C1=O,0.61,0.72,1.31
OCCc1cccnc1,0.38,0.32,0.4
CCC[n+]1cccc2ccccc21.[Br-],-,-,-
Nc1ccc2nccnc2c1,0.2,0.3,0.55
CN(C)CCc1ccccn1,1.05,0.97,1.22
CCCCCCCC(=O)NN,0.29,1.63,1.62
NC(=O)c1ccc(S(N)(=O)=O)cc1,-0.88,0.18,-0.34
NC(=O)Nc1ccc(C(=O)O)cc1,0.59,1,0.34
CSc1ccccc1NC(C)=O,1.65,2.21,1.49
CC(=O)Nc1ccc(Oc2ccccc2)cc1,3.16,2.81,2.51
CC(=O)Nc1cccc(OC(C)=O)c1,0.7,1.6,0.72
O=C(c1ccncc1)c1ccc(Cl)cc1,3.01,2.05,2.84
N#Cc1ccc(NC=O)cc1,1.6,1.11,0.88
O=C(O)COc1ccccc1O,0.85,0.66,1.22
[Br-].c1ccc(CC[n+]2ccccc2)cc1,-,-,-
NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,0.19,0.75,0.55
NC(=O)OCCc1ccccc1,1.69,2.06,1.72
CCOC(=O)C(=Cc1cccc([N+](=O)[O-])c1)C(=O)OCC,2.75,2.46,2.56
CNS(=O)(=O)c1ccc(Cl)cc1,1.48,1.79,1.92
CC(C)c1ccc(S(N)(=O)=O)cc1,1.83,1.84,1.85
CC(=O)Nc1c(C)cc(O)cc1C,-0.11,1.68,1.66
CC(=O)Nc1cccc(OCC(=O)O)c1,0.43,0.81,0.6
Cn1cnc([N+](=O)[O-])c1S(N)(=O)=O,-1.2,-0.64,-0.69
Nc1cccc2c1Cc1ccccc1-2,3.33,3.4,2.75
Nc1cc([N+](=O)[O-])cc(Cl)c1O,1.06,1.36,1.37
CNC(=O)C(Cc1ccc(O)cc1)NC(C)=O,0.3,0.71,0.31
Nc1ccc(C2CCCCC2)cc1,3.89,2.99,3.27
O=P(N1CCCC1)(N1CCCC1)N1CCCC1,2.39,2.84,0.27
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O,-4.55,-3.41,-4.24
[N-]=[N+]=Nc1ccc(C(=O)O)cc1,2.23,0.99,0.26
Cc1csc(C=Cc2ccc([N+](=O)[O-])o2)n1,3.26,1.27,2.38
COc1ccc2c(c1)N=C(C)NS2(=O)=O,0.97,0.56,0.52
Clc1cccc(Oc2ccccc2)c1,4.69,3.93,4.05
C=CCOc1ccccc1OCC(O)CNC(C)C,2.35,1.83,2.23
Cc1cc(=O)oc2c1ccc1occc12,2.9,1.87,2.65
O=C1NC(=O)C(c2ccccc2)C1=O,0.22,0.18,0.4
Cn1c(=O)cnc2ccccc21,0.18,0.76,0.96
CC(=O)Nc1cnc2ccccc2n1,1.08,0.84,0.95
NC(=O)c1cnc2ccccc2c1,0.73,1.24,1.02
Clc1nc(-c2ccccc2)nc2ccccc12,3.52,3.29,3.88
C=C(C)C1CC=C(C)C(=O)C1,2.78,2.15,2.36
O=C(Nc1ccc(Cl)cc1)c1cc([N+](=O)[O-])ccc1O,3.76,2.73,2.91
O=C(Nc1ccc(Cl)cc1)c1cccc([N+](=O)[O-])c1O,3.76,2.73,2.91
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,1.17,0.82,0.37
O=[N+]([O-])c1cn(CCN2CCOCC2)cn1,-0.27,0.59,0.18
O=[N+]([O-])c1cncn1CCN1CCOCC1,-0.27,0.59,-0.23
CCN(CC)CC(=O)NC1CCc2ccccc21,2.45,2.51,2.43
Clc1ccc(Cl)c(Cl)n1,2.74,2.34,3.09
Oc1nc(Cl)c(Cl)cc1Cl,2.26,2.13,3.15
CN(C)C(=O)c1ccccc1Cl,2.06,2.52,1.91
CC(C)c1ccccc1[N+](=O)[O-],3.27,2.8,2.92
COc1ccccc1-c1nc2ccccc2[nH]1,2.17,2.19,3.25
O=C(O)Cc1ccc(OCc2ccccc2)cc1,3.22,2.93,3.04
Cc1cc(C)cc(C2C(=O)c3ccccc3C2=O)c1,3.48,3.1,3.79
O=CC(O)C(O)C(O)C(O)C(=O)O,-3.68,-2.7,-2.48
Ic1ccc2ccccc2n1,3.15,2.93,3.12
O=[N+]([O-])c1ccc(N2CCCCC2)cc1,3.35,2.2,2.8
CC1=C(C(=O)Nc2ccccc2-c2ccccc2)SCCO1,2.85,2.79,2.93
COC(CN1CCCC1)c1ccccc1,2.05,2.12,2.26
CC1=C(C(=O)O)SCCO1,0.08,0.04,0.23
,-,-,-
CCCC(N)C(=O)O,-2.01,0.16,0.38
[O-][n+]1cccc(O)c1,1.08,0.01,2.12
O=[N+]([O-])c1cc2nc(C(F)(F)F)[nH]c2cc1Cl,2.66,2.43,3.25
CC(C)(C)C(=O)Nc1ccccc1,2.46,2.54,2.5
Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1,2.58,2.87,2.93
COC(=O)C(=Cc1ccccc1)C(=O)OC,1.95,1.96,1.97
O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,3.04,2.22,2.89
c1ccc(Nc2ccccn2)cc1,2.1,2.25,2.77
CC(=O)Oc1ccc(CC(N)C(=O)O)cc1,-1.91,1.24,0.72
Nc1ccc2c(c1)Cc1cc(Br)ccc1-2,4.22,4.06,3.49
O=C(O)CCn1ccc2ccccc21,2.35,1.67,2.03
Cc1cc(Cl)c(Cl)cc1Cl,4.47,4.37,4.31
Clc1cccc(N2CCNCC2)c1,2.19,1.83,2.08
OCc1cc(Cl)cc(Cl)c1O,1.88,2.17,2.29
CNC(=O)OC,-0.04,0.11,0.02
CC(=O)Nc1cn[nH]c1,-0.83,-0.57,-0.61
O=NN1CCC(c2ccccc2)CC1,2.36,2.26,2.29
N#CCCN(CCO)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,3.64,2.54,4.36
CC(C)CC(NC(=O)C(N)CO)C(=O)O,-1.32,-0.53,-0.61
O=c1cc(-c2ccccc2)oc2cc(O)ccc12,3.03,2.04,2.87
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0.53,1.19,0.75
C1CCC2=NCCCN2CC1,3.3,1.58,0.89
CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.9,2.21,2.26
CCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.39,2.42,2.72
CCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.88,2.62,3.18
CCCCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,5.36,3.22,4.54
CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,23,8.75,18.11
c1cc2n(n1)CCN2,0.12,0.07,0.27
O=C1c2ccccc2C(=O)C1c1ccc(C(F)(F)F)cc1,3.35,3.49,3.76
CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,7.56,3.86,5.96
CC(=O)OCC1OC(n2ccc(N)nc2=O)C(OC(C)=O)C1OC(C)=O,-0.76,-0.06,-1.26
CCCCCCCCCCCc1ccccc1,7.45,5.42,6.88
CN(C)C(=O)C=Cc1ccc([N+](=O)[O-])o1,0.69,0.77,1.13
CCNC(=O)C=Cc1ccc([N+](=O)[O-])o1,0.97,0.77,1.27
O=[N+]([O-])c1ccc(C=Cc2ncc[nH]2)o1,1.78,0.61,1.52
CCOC(=O)C(=Cc1ccccc1Cl)C(=O)OCC,3.58,3.02,3.33
CCOC(=O)C(=Cc1cccc(Cl)c1)C(=O)OCC,3.58,3.02,3.33
CCOC(=O)C(=Cc1ccccc1OC)C(=O)OCC,3.02,2.23,2.65
CCOC(=O)C(=Cc1ccc(OC)cc1)C(=O)OCC,3.02,2.23,2.65
COCc1ccc(COC)cc1,1.56,1.66,1.44
CCOC(=O)C(=Cc1cccc(OC)c1)C(=O)OCC,3.02,2.23,2.65
O=C1CN(Cc2ccccc2)C(=O)N1,2.14,1.08,0.84
CC(=O)c1cccc(C(C)=O)c1,1.35,1.49,1.31
CCCC(=O)NC(=O)C1CCC1,1.05,1.04,1.49
CCOC(=O)C(=Cc1ccc(Cl)cc1)C(=O)OCC,3.58,3.02,3.33
Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,1.53,2.17,1.98
Clc1ccc(Oc2cccc(Cl)c2)cc1,5.34,4.47,4.72
Cn1cc2ccc([N+](=O)[O-])cc2n1,1.6,1.53,1.71
Cn1ncc2ccc([N+](=O)[O-])cc21,1.6,1.53,1.57
CN(C)CC(O)c1ccccc1,0.48,1.66,1.39
N#Cc1cncc(Cl)n1,0.13,-0.69,0.71
CC(=O)N(c1ccccc1)c1ccc(C)cc1,4.33,3.63,3.22
COc1c2c(cc3c1-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC3)OCO2,2.04,0.75,1.52
Cc1c(-c2ccccc2)no[n+]1[O-],1.69,1.85,1.04
Cc1no[n+]([O-])c1-c1ccccc1,1.69,1.85,1.04
Clc1ccc(Oc2ccccc2Cl)cc1,5.34,4.47,4.72
COc1cncc(N)n1,0.42,-0.71,-0.16
O=C(O)CC(O)C(=O)O,-1.98,-1.14,-0.96
C#CCN(CC#C)CC#C,1.47,2.24,3.9
Cc1ccc(-c2cc(=S)ss2)cc1,4.63,2.99,4.14
CCOC(=O)c1cnccn1,0.27,-0.34,0.16
O=C(O)CC[Se]Cc1ccccc1,2.78,2.39,2.15
CN(C)C(=S)NN,-2.13,-0.3,-0.22
CC(=O)NC(=O)C1CCC1,0.07,0.39,0.37
Cc1cc(N)ccc1Br,2.51,2.62,2.32
Cc1cccc(C(=O)N(C)C)c1,1.96,2.25,1.73
COc1c(Cl)c(Cl)cc(Cl)c1Cl,4.65,3.91,4.47
Cc1ccc(C(=O)N(C(C)C)C(C)C)cc1,3.78,3.36,3.18
CCCCOC(=O)c1cccnc1,2.11,1.43,1.86
O=C1CCC(=O)N1c1ccc(Cl)cc1,1.28,1.63,1.65
O=C1NC(=O)C2(CC2)C(=O)N1,-1.33,-0.44,-0.54
Cn1cnc([N+](=O)[O-])c1S(=O)(=O)Oc1ccccc1,1.72,1.48,1.58
O=[N+]([O-])c1cccc2cc[nH]c12,1.87,1.51,2.02
NS(=O)(=O)c1ccccc1Cl,1.01,1.45,1.32
O=[N+]([O-])c1nc[nH]c1Br,0.77,0.81,0.72
O=[N+]([O-])c1nc[nH]c1Cl,0.52,0.6,0.61
CS(=O)(=O)Nc1cccc(NS(C)(=O)=O)c1,0.38,0.47,0.67
CN(C)C(=O)Oc1ccccc1,1.58,2.33,1.8
Cc1cc(N=O)ccc1O,1.93,1.13,2.3
CN(C)C(N)=S,-0.63,-0.27,0.27
CN(C)C(=O)c1cccnc1,0.23,0.4,0.09
CC(=O)Nc1ccc(Cl)cc1Cl,2.39,2.78,2.28
COc1cc(OC)c(OC)cc1Cc1cnc(N)nc1N,1.46,0.86,1.54
COc1ccc(Cc2cnc(N)nc2N)c(OC)c1OC,1.46,0.86,1.54
Nc1ncc(Cc2cc(Cl)c(Cl)cc2Cl)c(N)n1,3.15,3.17,3.59
COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC,1.93,1.61,2.05
CC12CCC(=O)C=C1C1(CC1)CC1C2CCC2(C)C1CCC21CCC(=O)O1,4.74,4.67,3.91
CNC(=O)Oc1ccccc1C1OCCO1,0.51,1.34,1.29
CCOP(C)(=S)OCC,2.82,0.59,1.09
Clc1ccc(Oc2ccccc2)cc1,4.69,3.93,4.05
COc1cc2c(c3c1c(=O)c1ccccc1n3C)C=CC(C)(C)O2,5.84,2.43,4.02
O=C1OC(Cc2ccccc2)c2ccccc21,3.9,3.5,3.37
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,5.69,5.47,5.34
Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1.69,2.2,2.19
Nc1ncnc2c1ncn2C1C=CC(CO)O1,-1.56,0.16,-0.53
CCCCN(C)N=O,0.83,0.97,1.42
COc1ccc(NC(C)=O)cc1Cl,1.83,1.95,1.6
CN(N=O)C(=O)Oc1cccc2ccccc12,3.12,2.98,3
Clc1cc2c(cc1Cl)-c1cc(Cl)c(Cl)cc1-2,6.33,5.91,5.69
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,-3.38,-2.98,-3.89
COC(=O)C(N)Cc1ccc(O)c(O)c1,-0.16,0.49,0.67
CCc1cssc1=S,3.36,1.58,2.81
Cc1csc(N=C(N)N)n1,2.37,-0.16,0.07
CN(C)c1ccc(Cl)nn1,0.76,1.24,1.79
Nc1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,2.33,2.73,2.85
Cc1cc(O)c([N+](=O)[O-])cc1Cl,2.52,2.21,2.61
CC(=O)Nc1ccc(C)c(Cl)c1,2.29,2.52,2.1
CNC(=O)c1cccn1C,0.64,0.16,0.63
Cc1cc2nccnc2cc1C,2.21,1.49,2.27
O=C(Nc1ccccc1)c1ccc(C(=O)Nc2ccccc2)cc1,4.01,3.82,3.4
NCCN1CCCC1,-0.07,0.31,-0.05
CN(C)C(=O)Nc1ccc([N+](=O)[O-])cc1,1.2,1.83,1.05
CN(C)C(=O)Nc1cccc([N+](=O)[O-])c1,1.2,1.83,1.05
Cc1ccc(NC(=O)N(C)C)cc1,1.93,2.22,1.64
COc1ccc(NC(=O)N(C)C)cc1,1.46,1.68,1.14
CC(C)(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.75,3.63,3.83
CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,3.08,1.32,1.51
CN(C)N=Nc1ccc(C(=O)O)cc1,2.64,1.73,1.82
S=C1CCCCCN1,1,1.05,1.44
O=S(CCl)c1ccccc1,0.68,2.1,1.7
O=S(=O)(CCl)c1ccccc1,0.82,1.54,1.79
CCCCCCCCCCCCCCCCCC[n+]1ccccc1.[I-],-,-,-
O=[N+]([O-])c1ccc2cccccc1-2,2.99,2.54,2.63
CC(=O)c1ccc2cccccc1-2,2.85,2.47,2.48
O=Cc1ccc2cccccc1-2,2.89,2.19,2.5
CCCCC(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)CC1OC(=O)CCCC,1.8,1.74,2.14
NCCCN1CCN(CCCN)CC1,-1.35,-0.02,-1.26
CCOc1cccc(OC(=O)NC)c1,1.74,2.09,1.93
CN(C)N=Nc1ccccc1,2.76,2.01,2.21
OCC1OC(Oc2ccccc2I)C(O)C(O)C1O,0.67,0.12,0.24
Cc1ccccc1OC1OC(CO)C(O)C(O)C1O,0.05,-0.41,0.14
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=S,-1.47,-0.31,-0.34
CC(=O)OC1CC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC(C)=O)CC65O)C4)CC3OC(C)=O)CC2OC(C)=O)OC(C)C1OC(C)=O,3.76,2.74,3.7
CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(O)C(OC7CC(O)C(O)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1,0.15,1.31,2.19
CN(C)C(=O)Oc1ccc([N+](=O)[O-])cc1,1.4,2.24,1.69
CCCCOc1ccc([N+](=O)[O-])cc1,3.36,2.56,3.04
CC1CCCCN1N=O,1.14,0.96,1.39
Cc1cnc2ccccc2n1,1.66,1.18,1.58
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,2.6,1.24,1.87
Nc1ccccc1OC1OC(CO)C(O)C(O)C1O,-1.41,-1.18,-1.09
CCN=c1nc(Cl)[nH]c(=NC(C)CC)[nH]1,3.45,1.68,2.72
CSc1nc(NC(C)C)nc(NC(C)C)n1,3.14,2.49,3.2
CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,4.09,3.62,4.07
COc1cccc(C(=O)N(C)C)c1,1.5,1.68,1.23
COc1ccc(C(=O)N(C)C)cc1,1.5,1.68,1.23
COc1ccccc1C(=O)N(C)C,1.5,1.68,1.23
CCCOP(=O)(OCCC)Oc1ccc(SC)cc1,3.68,3.75,3.67
COc1cccnc1,0.89,0.23,0.66
CCCCCCCCCC[n+]1ccccc1.[I-],-,-,-
CN(C)C(=O)Oc1ccc(Cl)cc1,2.23,2.9,2.46
CN(C)C(=O)Oc1ccccc1Br,2.47,3.05,2.55
Cc1ccccc1OC(=O)N(C)C,2.13,2.63,2.29
Cc1cccc(OC(=O)N(C)C)c1,2.13,2.63,2.29
Cc1ccc(OC(=O)N(C)C)cc1,2.13,2.63,2.29
COc1cccc(OC(=O)N(C)C)c1,1.66,2.09,1.78
COc1ccc(OC(=O)N(C)C)cc1,1.66,2.09,1.78
CC(=O)CC(=O)C(C)(C)C,0.06,1.14,1.07
Nc1ncc(Cc2ccccc2)c(N)n1,1.22,1.82,1.59
CC(CC(=O)O)CC(=O)c1ccc(-c2ccccc2)cc1,4.09,3.32,3.62
O=C(NO)Nc1ccccc1,0.58,1.27,0.38
COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.58,0.88,1.47
Cc1ccc(Cl)c(Cl)c1Cl,4.47,4.37,4.31
CNC(=O)Oc1ccccc1[N+](=O)[O-],0.99,1.92,1.49
CC(=O)NC(Cc1ccccc1)C(N)=O,-0.39,0.95,0.37
COc1ccc(C(c2ccc(OC)cc2)C(Cl)Cl)cc1,5.26,4.04,4.38
CC(C)C1C(=O)NC(=O)NC1=O,0.27,-0.08,0.12
O=C1CCC(=O)N1c1ccccc1Cl,1.28,1.63,1.65
CCNC(=O)c1ccc(OC)cc1,1.78,1.68,1.37
NCc1ccc([N+](=O)[O-])cc1,0.89,1.34,0.83
,-,-,-
Cc1ncc(NS(=O)(=O)c2ccc(N)cc2)c(C)n1,1.61,0.65,0.58
NC(=S)NN=Cc1cccc(O)c1,-0.11,0.71,1.31
O=C(O)CCN1C(=O)C=CC1=O,-1.59,-0.58,-0.48
NC(Cc1ccc(Cl)cc1)C(=O)O,-0.86,1.82,1.62
CCC(=O)CC(=O)CC,-0.32,0.81,0.86
CCN(O)C(N)=O,-0.98,-0.29,-0.84
CN(O)C(N)=O,-1.47,-0.81,-1.19
O=[N+]([O-])c1cc2ccccc2[n+]([O-])c1,2.56,2.04,3.48
CC1CCCCC1O,2.05,1.55,1.82
CCCCCCCCCC[N+](C)(C)C.[I-],-,-,-
CC(=O)Nc1ccc(N(C)C)cc1,1.28,1.68,1.11
CC(=O)Nc1cccc(C(C)=O)c1,0.78,1.33,0.69
CC(=O)Nc1cccc(Cl)c1C,2.29,2.52,2.1
Cc1c([N+](=O)[O-])ncn1C,0.97,0.74,0.5
CC(=O)C=Cc1cccc([N+](=O)[O-])c1,1.57,2.13,1.78
COc1ccccc1C(=O)NN,-0.68,1.06,0.32
CC(=O)Nc1cccc(N(C)C)c1,1.28,1.68,1.11
Nc1ccn(C2C=CC(CO)O2)c(=O)n1,-0.92,-0.29,-0.91
Nc1ccn(C2CCC(CO)O2)c(=O)n1,-0.7,-0.2,-0.99
NC(=O)CN1CCCC1=O,-1.7,-0.77,-1.1
O=C(Cc1ccccc1)Nc1ccc(Br)cc1,3.47,3.76,3.4
Brc1ccc(-c2cc3ccccn3c2)cc1,4.55,3.49,4.49
Clc1ccc(-c2cc3ccccn3c2)cc1,4.3,3.37,4.41
Cc1ccc(-c2cc3ccccn3c2)cc1,4.2,3.1,4.23
COc1ccc(-c2cc3ccccn3c2)cc1,3.74,2.49,3.73
CC(C)NC(C)(C)C,2.1,1.94,1.44
Nc1ncc(Cc2cc(Cl)c(Cl)c(Cl)c2)c(N)n1,3.15,3.17,3.59
C=Cc1cccc(CC)c1,3.93,3.47,3.32
Cc1ccc(C=C[N+](=O)[O-])cc1,2.49,2.45,2.3
CN(C1CCCCC1)C1CCCCC1,4.58,3.35,4.04
CCc1ccc(C2C(=O)c3ccccc3C2=O)cc1,3.42,3.1,3.76
O=C1c2ccccc2C(=O)C1c1nc2ccccc2cc1O,2.05,1.82,3.17
CC(C)(C)OCCO,0.46,0.71,0.44
Cn1c(N)c(NC=O)c(=O)n(C)c1=O,-0.06,-0.89,-1.94
CCOC(CP(=O)(OCC)OCC)OCC,0.77,1.06,0.83
S=C=Nc1ccc(N=Nc2ccccc2)cc1,5.8,4.38,4.96
S=C=Nc1ccc2cc3ccccc3cc2c1,5.68,5.19,4.41
O=[N+]([O-])c1cccc2c1ccc[n+]2[O-],2.56,2.04,3.48
CN(C)CC(c1ccccc1)c1ccccc1,3.43,3.9,3.58
Cc1ccccc1C(=O)NN,-0.21,1.6,0.83
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1=C2CC(C)CC1,8.07,4.23,6.35
NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)O,0.82,0.99,0.92
CCCOC(=O)c1cccnc1,1.62,1.12,1.41
Cn1c([N+](=O)[O-])cnc1COC(N)=O,-0.37,-0.03,-0.09
FC(F)(F)c1nc2c(Br)c(Br)c(Br)cc2[nH]1,4.87,4.07,4.94
Clc1nc2c(Cl)c(Cl)c(Cl)c(Cl)c2[nH]1,4.46,3.54,4.88
Clc1nc(Cl)c(Cl)[nH]1,1.99,1.27,1.93
CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,-0.51,0.73,3.97
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,-0.31,1.35,1.75
CSc1nc2ccc(Cl)cc2[nH]1,2.43,2.13,3.09
CC(C)NCC(O)COc1ccccc1,1.42,1.67,1.63
CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,4.33,3.02,3.45
COP(=O)(OC)OC(C)=CC(=O)OC(C)c1ccccc1,1.89,2.56,1.98
CN(C)C=C1OC(=O)C(C#N)=C1c1ccccc1,0.98,1.21,1.41
CC(C)=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-0.6,0.04,0.04
CCNCC(=O)Nc1c(C)cccc1C,0.96,1.98,1.96
Clc1ccc(C2NCCS2)cc1,2.08,2.42,2.66
CCC(CC)C1=Nc2ccccc2S(=O)(=O)N1,2.78,1.96,2.57
CCC(CC)C(=O)Nc1ccccc1S(N)(=O)=O,1.37,1.71,1.82
Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,2.56,2.91,2.75
C=C(C)C1CCC(C)C(=O)C1,2.86,2.25,2.4
CN(C)P1(=O)N(C)CCN1C,-0.33,0.96,-1.3
COCC(C)OC,0.21,0.33,0.3
CCOC(=O)c1cccc(O)c1,1.84,1.78,1.77
CC12CCC(C1)C(C)(C)C2=O,2.68,2.36,2.36
O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,2.53,2.36,3.43
O=C(c1ccccc1)C(O)c1ccccc1,1.84,2.43,2.72
CCCCN(CCOC(C)=O)c1ccc(N=Nc2c(C#N)cc([N+](=O)[O-])cc2C#N)c(C)c1,5.61,2.85,5.67
Cc1cc(=O)[nH]o1,-0.24,-0.34,-0.43
CCCCCCCCCCCCN1CC(C(=O)O)CC1=O,4.48,3.71,4.11
Brc1ccc2[nH]ccc2c1,2.94,2.49,2.87
COc1cc(C(=O)C=CN2CC=CC2)cc(OC)c1OC,2.37,1,1.96
COP(=O)(OC)Oc1ccccc1,1.17,2.01,1.38
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O,-3.38,-1.17,-0.12
C=CC(=O)NCCc1cnc[nH]1,-0.08,0.14,-0.13
Cc1nc(Cl)c(C#N)cc1-c1ccccc1,3.47,2.31,3.23
c1ccc(Cn2cccn2)cc1,2.31,1.91,2.06
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,-2.78,-0.38,-1.1
C=C1C(=O)OC2C1C(OC(=O)C(C)=CC)CC1(CO1)C1C(OC(C)=O)C=C(C)C21O,1.98,1.73,1.29
N#CC(Br)(Br)C(N)=O,-0.86,0.02,0.7
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,-1.7,-2.45,-0.47
CC(=O)OCN1C(=O)c2cccc3cccc(c23)C1=O,2.84,2.21,1.59
C=C1C(=O)OC2CC3=CC(CC4(C)OC4C(O)C12)OC3=O,0.94,0.97,0.19
CC=CC(=O)Nc1ccc(Cl)c(Cl)c1,3.16,3.27,3.38
CCCCC(=O)Nc1ccccc1,2.57,2.54,2.53
COP(N)(=O)SC,-0.93,-0.82,-0.27
CC(=O)Nc1cccc(NC(C)=O)c1,0.21,1.19,0.07
