Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
630,Molecule 630,Oc1ccccc1c2ccccc2,3.09 (EXPERIMENTAL value),3.28,3.09 (EXPERIMENTAL value),3.13,3.09 (EXPERIMENTAL value),3.08
631,Molecule 631,O=C2c1ccccc1Cc3ccccc23,3.66 (EXPERIMENTAL value),4.04,3.66 (EXPERIMENTAL value),3.31,3.66 (EXPERIMENTAL value),3.47
632,Molecule 632,n2c1ccccc1c(N)c3ccccc23,2.24 (MODERATE reliability),2.24,2.36 (GOOD reliability),2.36,2.61 (GOOD reliability),2.61
633,Molecule 633,O=C1c3ccccc3(Oc2ccccc12),3.39 (EXPERIMENTAL value),3.84,3.39 (EXPERIMENTAL value),2.17,3.39 (EXPERIMENTAL value),3.06
634,Molecule 634,O=C(O)C(O)c1ccccc1,0.62 (EXPERIMENTAL value),0.2,0.62 (EXPERIMENTAL value),0.93,0.62 (EXPERIMENTAL value),0.92
635,Molecule 635,OC(c1ccccc1)C(NC)C,1.01 (EXPERIMENTAL value),0.68,1.01 (EXPERIMENTAL value),1.66,1.01 (EXPERIMENTAL value),1.23
636,Molecule 636,O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C,3.87 (EXPERIMENTAL value),3.91,3.87 (EXPERIMENTAL value),2.88,3.87 (EXPERIMENTAL value),3.65
637,Molecule 637,OC(c1ccccc1)c2ccccc2,2.67 (EXPERIMENTAL value),2.71,2.67 (EXPERIMENTAL value),3.13,2.67 (EXPERIMENTAL value),2.84
638,Molecule 638,O=C(c1ncccc1)c2ccccc2,1.88 (EXPERIMENTAL value),2.36,1.88 (EXPERIMENTAL value),1.51,1.88 (EXPERIMENTAL value),2.6
639,Molecule 639,Oc1c(OC)cccc1(OC),1.15 (EXPERIMENTAL value),1.67,1.15 (EXPERIMENTAL value),1.01,1.15 (EXPERIMENTAL value),1.53
640,Molecule 640,N#Cc1ccccc1(C#N),0.99 (EXPERIMENTAL value),1.09,0.99 (EXPERIMENTAL value),0.87,0.99 (EXPERIMENTAL value),1.59
641,Molecule 641,O(c1ccccc1(OC))C,1.6 (EXPERIMENTAL value),2.15,1.6 (EXPERIMENTAL value),1.58,1.6 (EXPERIMENTAL value),1.8
642,Molecule 642,n1cnc2nccnc2(c1),-0.58 (EXPERIMENTAL value),-0.94,-0.58 (EXPERIMENTAL value),-0.24,-0.58 (EXPERIMENTAL value),-0.29
643,Molecule 643,n1ccnc2ccccc12,1.32 (EXPERIMENTAL value),1.12,1.32 (EXPERIMENTAL value),0.87,1.32 (EXPERIMENTAL value),1.29
644,Molecule 644,c1ccc2ccccc2(c1),3.3 (EXPERIMENTAL value),3.17,3.3 (EXPERIMENTAL value),3.39,3.3 (EXPERIMENTAL value),2.74
645,Molecule 645,n1cccc2ccccc12,2.03 (EXPERIMENTAL value),1.98,2.03 (EXPERIMENTAL value),2.07,2.03 (EXPERIMENTAL value),2.02
646,Molecule 646,O=[N+]([O-])c1ccccc1(OC),1.73 (EXPERIMENTAL value),1.89,1.73 (EXPERIMENTAL value),1.61,1.73 (EXPERIMENTAL value),1.71
647,Molecule 647,O=S(=O)(N)c3cc1c(N=C(NS1(=O)(=O))CSCc2ccccc2)cc3Cl,1.71 (GOOD reliability),1.71,2.06 (MODERATE reliability),2.06,2.3 (GOOD reliability),2.3
648,Molecule 648,O=C(O)c2ccccc2(Nc1ccccc1),4.36 (EXPERIMENTAL value),3.17,4.36 (EXPERIMENTAL value),2.95,4.36 (EXPERIMENTAL value),2.98
649,Molecule 649,O(c1cc(ccc1C(C)C)C)CCN(C)C,3.79 (EXPERIMENTAL value),3.77,3.79 (EXPERIMENTAL value),3.04,3.79 (EXPERIMENTAL value),3.63
650,Molecule 650,c1ccc2c(c1)[nH]c(c2C)C,3.05 (EXPERIMENTAL value),3.15,3.05 (EXPERIMENTAL value),2.37,3.05 (EXPERIMENTAL value),2.76
651,Molecule 651,O=C1Nc2ccccc2(C1(=O)),0.83 (EXPERIMENTAL value),-0.64,0.83 (EXPERIMENTAL value),0.44,0.83 (EXPERIMENTAL value),0.67
652,Molecule 652,c1ccc2cc(ccc2(c1))C,3.86 (EXPERIMENTAL value),3.72,3.86 (EXPERIMENTAL value),3.68,3.86 (EXPERIMENTAL value),3.22
653,Molecule 653,c1ccc2cc(ccc2(c1))Cl,3.98 (EXPERIMENTAL value),3.81,3.98 (EXPERIMENTAL value),3.95,3.98 (EXPERIMENTAL value),3.4
654,Molecule 654,Nc1ccc2ccccc2(c1),2.28 (EXPERIMENTAL value),2.25,2.28 (EXPERIMENTAL value),2.64,2.28 (EXPERIMENTAL value),1.99
655,Molecule 655,n1cccc2cc(ccc12)C,2.57 (EXPERIMENTAL value),2.53,2.57 (EXPERIMENTAL value),2.37,2.57 (EXPERIMENTAL value),2.5
656,Molecule 656,n1c2ccccc2(ccc1C),2.59 (EXPERIMENTAL value),2.53,2.59 (EXPERIMENTAL value),2.37,2.59 (EXPERIMENTAL value),2.3
657,Molecule 657,O=C1Oc2ccccc2(C=C1),1.81 (GOOD reliability),1.81,2 (GOOD reliability),2,1.9 (GOOD reliability),1.9
658,Molecule 658,c1ccc(cc1)N(CC)CC,3.31 (EXPERIMENTAL value),3.15,3.31 (EXPERIMENTAL value),2.81,3.31 (EXPERIMENTAL value),2.69
659,Molecule 659,n1c(nc(nc1N)c2ccccc2)N,1.36 (EXPERIMENTAL value),1.44,1.36 (EXPERIMENTAL value),1.66,1.36 (EXPERIMENTAL value),1.11
660,Molecule 660,n1ccccc1N(Cc2cccs2)CCN(C)C,2.87 (EXPERIMENTAL value),2.21,2.87 (EXPERIMENTAL value),2.04,2.87 (EXPERIMENTAL value),3.06
661,Molecule 661,n1ccccc1N(Cc2ccc(OC)cc2)CCN(C)C,3.27 (EXPERIMENTAL value),2.47,3.27 (EXPERIMENTAL value),2.17,3.27 (EXPERIMENTAL value),3.09
662,Molecule 662,Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl,3.51 (EXPERIMENTAL value),3.21,3.51 (EXPERIMENTAL value),3.59,3.51 (EXPERIMENTAL value),3.18
663,Molecule 663,O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C,1.75 (EXPERIMENTAL value),2.88,1.75 (EXPERIMENTAL value),2.24,1.75 (EXPERIMENTAL value),2.1
664,Molecule 664,O=C2OCC(Cc1cncn1C)C2CC,1.34 (LOW reliability),1.34,1.54 (MODERATE reliability),1.54,0.97 (MODERATE reliability),0.97
665,Molecule 665,c1ccc2cc3cc4ccccc4(cc3(cc2(c1))),5.76 (EXPERIMENTAL value),5.52,5.76 (EXPERIMENTAL value),5.09,5.76 (EXPERIMENTAL value),4.56
666,Molecule 666,O=C2NN(c1ccccc1)CC2,0.89 (EXPERIMENTAL value),0.77,0.89 (EXPERIMENTAL value),1.26,0.89 (EXPERIMENTAL value),0.99
667,Molecule 667,Oc1cc2ccccc2(cc1(O)),2.24 (EXPERIMENTAL value),2.21,2.24 (EXPERIMENTAL value),2.02,2.24 (EXPERIMENTAL value),2.2
668,Molecule 668,OCCN(c1ccccc1)CC,2.1 (EXPERIMENTAL value),1.69,2.1 (EXPERIMENTAL value),1.93,2.1 (EXPERIMENTAL value),1.8
669,Molecule 669,c1ccc(cc1)c2ccccc2,3.98 (EXPERIMENTAL value),3.76,3.98 (EXPERIMENTAL value),3.88,3.98 (EXPERIMENTAL value),3.35
670,Molecule 670,O2CCN(c1ccccc1)CC2,1.36 (EXPERIMENTAL value),1.78,1.36 (EXPERIMENTAL value),1.27,1.36 (EXPERIMENTAL value),1.68
671,Molecule 671,c1ccc(cc1)N2CCNCC2,1.1 (EXPERIMENTAL value),1.54,1.1 (EXPERIMENTAL value),1.27,1.1 (EXPERIMENTAL value),1.41
672,Molecule 672,O=C(OC(OC(=O)C)c1oc(cc1)[N+](=O)[O-])C,1.06 (EXPERIMENTAL value),1.24,1.06 (EXPERIMENTAL value),1.15,1.06 (EXPERIMENTAL value),1.06
673,Molecule 673,n1c3cc(N)ccc3(cc2ccc(N)cc12),1.83 (EXPERIMENTAL value),1.32,1.83 (EXPERIMENTAL value),1.79,1.83 (EXPERIMENTAL value),1.86
674,Molecule 674,c1ccc(cc1)c2ccc(cc2)Br,4.96 (EXPERIMENTAL value),4.65,4.96 (EXPERIMENTAL value),4.55,4.96 (EXPERIMENTAL value),4.1
675,Molecule 675,Nc1ccc(cc1)c2ccccc2,2.86 (EXPERIMENTAL value),2.84,2.86 (EXPERIMENTAL value),3.13,2.86 (EXPERIMENTAL value),2.6
676,Molecule 676,Oc1ccc(cc1)c2ccccc2,3.2 (EXPERIMENTAL value),3.28,3.2 (EXPERIMENTAL value),3.13,3.2 (EXPERIMENTAL value),3.08
677,Molecule 677,O=C(O)c1cc2ccccc2(cc1(O)),3.05 (EXPERIMENTAL value),4.54,3.05 (EXPERIMENTAL value),2.21,3.05 (EXPERIMENTAL value),2.08
678,Molecule 678,n1cc(oc1c2ccccc2)c3ccccc3,4.67 (EXPERIMENTAL value),4.07,4.67 (EXPERIMENTAL value),2.63,4.67 (EXPERIMENTAL value),3.46
679,Molecule 679,n1c3ccccc3(nc2ccccc12),2.84 (EXPERIMENTAL value),2.29,2.84 (EXPERIMENTAL value),1.82,2.84 (EXPERIMENTAL value),3.06
680,Molecule 680,O2c1ccccc1Cc3ccccc23,4.23 (EXPERIMENTAL value),4.54,4.23 (EXPERIMENTAL value),3.13,4.23 (EXPERIMENTAL value),3.53
681,Molecule 681,c1ccc3c(c1)Nc2ccccc2S3,4.15 (EXPERIMENTAL value),3.34,4.15 (EXPERIMENTAL value),2.86,4.15 (EXPERIMENTAL value),3.67
682,Molecule 682,c1ccc3c(c1)Sc2ccccc2S3,4.47 (EXPERIMENTAL value),3.86,4.47 (EXPERIMENTAL value),3.88,4.47 (EXPERIMENTAL value),4.24
683,Molecule 683,c1cc(ccc1c2ccc(cc2)Br)Br,5.72 (EXPERIMENTAL value),5.54,5.72 (EXPERIMENTAL value),5.2,5.72 (EXPERIMENTAL value),4.85
684,Molecule 684,Nc1ccc(cc1)c2ccc(N)cc2,1.34 (EXPERIMENTAL value),1.92,1.34 (EXPERIMENTAL value),2.51,1.34 (EXPERIMENTAL value),1.86
685,Molecule 685,O=C(O)c1ccc(cc1)c2ccccc2,3.75 (EXPERIMENTAL value),3.64,3.75 (EXPERIMENTAL value),3.25,3.75 (EXPERIMENTAL value),2.95
686,Molecule 686,O=[N+]([O-])c1ccc(cc1)c2ccccc2,3.82 (EXPERIMENTAL value),3.57,3.82 (EXPERIMENTAL value),3.43,3.82 (EXPERIMENTAL value),3.24
687,Molecule 687,c1ccc(cc1)c2ccc(cc2)c3ccccc3,6.03 (EXPERIMENTAL value),5.52,6.03 (EXPERIMENTAL value),5.16,6.03 (EXPERIMENTAL value),4.87
688,Molecule 688,O=Cc1cc(OC)ccc1(OC),1.91 (EXPERIMENTAL value),1.87,1.91 (EXPERIMENTAL value),0.97,1.91 (EXPERIMENTAL value),1.56
689,Molecule 689,O(c1ccc2ccccc2(c1))C,3.47 (EXPERIMENTAL value),3.25,3.47 (EXPERIMENTAL value),2.93,3.47 (EXPERIMENTAL value),2.72
690,Molecule 690,O=C(O)c1ccc(OC)c(OC)c1,1.61 (EXPERIMENTAL value),2.04,1.61 (EXPERIMENTAL value),1.24,1.61 (EXPERIMENTAL value),1.4
691,Molecule 691,O=C(O)c1ccc2ccccc2(c1),3.28 (EXPERIMENTAL value),3.05,3.28 (EXPERIMENTAL value),2.78,3.28 (EXPERIMENTAL value),2.34
692,Molecule 692,OCC(O)COc1ccccc1(OC),1.39 (EXPERIMENTAL value),0.54,1.39 (EXPERIMENTAL value),0.56,1.39 (EXPERIMENTAL value),0.75
693,Molecule 693,O=C(Nc1ccccc1(OC))C,1.18 (GOOD reliability),1.18,1.38 (GOOD reliability),1.38,0.93 (GOOD reliability),0.93
694,Molecule 694,O=C(c1ccccc1)CC,2.19 (EXPERIMENTAL value),2.16,2.19 (EXPERIMENTAL value),2.15,2.19 (EXPERIMENTAL value),2.24
695,Molecule 695,O=C(OC)c1ccccc1,2.12 (EXPERIMENTAL value),1.83,2.12 (EXPERIMENTAL value),2.03,2.12 (EXPERIMENTAL value),1.69
696,Molecule 696,O=C(OC)c1cnccc1,0.83 (EXPERIMENTAL value),0.64,0.83 (EXPERIMENTAL value),0.47,0.83 (EXPERIMENTAL value),0.53
697,Molecule 697,O=CN(c1ccccc1)C,1.09 (EXPERIMENTAL value),1.62,1.09 (EXPERIMENTAL value),2.03,1.09 (EXPERIMENTAL value),1.21
698,Molecule 698,O=C(O)C(Oc1ccc(cc1C)Cl)C,3.13 (EXPERIMENTAL value),2.94,3.13 (EXPERIMENTAL value),2.38,3.13 (EXPERIMENTAL value),3.01
699,Molecule 699,O=C(O)C(Oc1cc(c(cc1Cl)Cl)Cl)C,3.8 (EXPERIMENTAL value),3.68,3.8 (EXPERIMENTAL value),3.19,3.8 (EXPERIMENTAL value),3.85
700,Molecule 700,O=C(O)COc1cc(c(cc1Cl)Cl)Cl,3.31 (EXPERIMENTAL value),3.26,3.31 (EXPERIMENTAL value),2.91,3.31 (EXPERIMENTAL value),3.48
701,Molecule 701,O=C(OCCCC)COc1cc(c(cc1Cl)Cl)Cl,4.81 (EXPERIMENTAL value),5.02,4.81 (EXPERIMENTAL value),3.99,4.81 (EXPERIMENTAL value),5.06
702,Molecule 702,O=C(OCC)c1ccccc1,2.32 (MODERATE reliability),2.32,2.35 (MODERATE reliability),2.35,2.03 (MODERATE reliability),2.03
703,Molecule 703,O=C(OC(=O)c1ccccc1)c2ccccc2,2.26 (EXPERIMENTAL value),3.59,2.26 (EXPERIMENTAL value),3.68,2.26 (EXPERIMENTAL value),3.13
704,Molecule 704,O=C(Nc1ccccc1)c2ccccc2,2.62 (EXPERIMENTAL value),3,2.62 (EXPERIMENTAL value),3.11,2.62 (EXPERIMENTAL value),2.61
705,Molecule 705,O=C(Oc1ccccc1)c2ccccc2,3.59 (EXPERIMENTAL value),3.04,3.59 (EXPERIMENTAL value),3.52,3.59 (EXPERIMENTAL value),3.26
706,Molecule 706,O=C(OCC)CC(=O)c1ccccc1,1.87 (EXPERIMENTAL value),1.71,1.87 (EXPERIMENTAL value),1.76,1.87 (EXPERIMENTAL value),1.95
707,Molecule 707,Oc1ccc(cc1)C(O)CNC,-0.45 (EXPERIMENTAL value),-0.21,-0.45 (EXPERIMENTAL value),0.79,-0.45 (EXPERIMENTAL value),0.59
708,Molecule 708,O=C(OCC)c1ccc(N)cc1,1.86 (EXPERIMENTAL value),1.8,1.86 (EXPERIMENTAL value),1.78,1.86 (EXPERIMENTAL value),1.29
709,Molecule 709,O=C(OCCC)c1ccc(N)cc1,2.43 (EXPERIMENTAL value),2.29,2.43 (EXPERIMENTAL value),2.09,2.43 (EXPERIMENTAL value),1.81
710,Molecule 710,O=C(OCCC)c1ccc(O)cc1,3.04 (EXPERIMENTAL value),2.33,3.04 (EXPERIMENTAL value),2.09,3.04 (EXPERIMENTAL value),2.29
711,Molecule 711,O=C(OCc1ccccc1)c2ccc(O)cc2,3.56 (EXPERIMENTAL value),3.06,3.56 (EXPERIMENTAL value),2.95,3.56 (EXPERIMENTAL value),3
712,Molecule 712,O=S(=O)(Nc1nnc(CC)s1)c2ccc(N)cc2,1.01 (EXPERIMENTAL value),0.93,1.01 (EXPERIMENTAL value),0.97,1.01 (EXPERIMENTAL value),1.51
713,Molecule 713,O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl,2.27 (EXPERIMENTAL value),2.01,2.27 (EXPERIMENTAL value),2.24,2.27 (EXPERIMENTAL value),2.06
714,Molecule 714,O=C(OCCN(C)C)c1ccc(cc1)NCCCC,3.51 (EXPERIMENTAL value),3.02,3.51 (EXPERIMENTAL value),2.64,3.51 (EXPERIMENTAL value),3
715,Molecule 715,O=C(OCCCC)c1ccc(N)cc1,2.87 (EXPERIMENTAL value),2.78,2.87 (EXPERIMENTAL value),2.38,2.87 (EXPERIMENTAL value),2.27
716,Molecule 716,O=C(OCCCC)c1ccc(O)cc1,3.57 (EXPERIMENTAL value),2.82,3.57 (EXPERIMENTAL value),2.38,3.57 (EXPERIMENTAL value),2.75
717,Molecule 717,O=C(OCCO)c1ccccc1,1.12 (EXPERIMENTAL value),0.85,1.12 (EXPERIMENTAL value),1.51,1.12 (EXPERIMENTAL value),1.15
718,Molecule 718,O=C(OOC(=O)c1ccccc1)c2ccccc2,3.46 (EXPERIMENTAL value),4.25,3.46 (EXPERIMENTAL value),3.68,3.46 (EXPERIMENTAL value),3.17
719,Molecule 719,O=C(C=Cc1ccccc1)c2ccccc2,3.08 (EXPERIMENTAL value),3.97,3.08 (EXPERIMENTAL value),3.49,3.08 (EXPERIMENTAL value),3.7
720,Molecule 720,O=C(OCc1ccccc1)c2cnccc2,2.4 (EXPERIMENTAL value),2.35,2.4 (EXPERIMENTAL value),2.02,2.4 (EXPERIMENTAL value),2.12
721,Molecule 721,O=C(OCCC(C)C)c1ccccc1,4.15 (EXPERIMENTAL value),3.72,4.15 (EXPERIMENTAL value),3.23,4.15 (EXPERIMENTAL value),3.27
722,Molecule 722,O=C(OCCc1ccccc1)c2ccccc2,4.01 (EXPERIMENTAL value),4.03,4.01 (EXPERIMENTAL value),3.77,4.01 (EXPERIMENTAL value),3.59
723,Molecule 723,Oc1ccccc1(OCC),1.68 (EXPERIMENTAL value),2.08,1.68 (EXPERIMENTAL value),1.58,1.68 (EXPERIMENTAL value),1.89
724,Molecule 724,O=C(O)COc1ccc(cc1C)Cl,3.25 (EXPERIMENTAL value),2.52,3.25 (EXPERIMENTAL value),2.09,3.25 (EXPERIMENTAL value),2.63
725,Molecule 725,O=C(O)COc1ccc(cc1Cl)Cl,2.81 (EXPERIMENTAL value),2.62,2.81 (EXPERIMENTAL value),2.35,2.81 (EXPERIMENTAL value),2.81
726,Molecule 726,O=C(O)CCCOc1ccc(cc1Cl)Cl,3.53 (EXPERIMENTAL value),3.6,3.53 (EXPERIMENTAL value),2.93,3.53 (EXPERIMENTAL value),3.17
727,Molecule 727,c1cc(c(cc1Cl)Cl)CCl,3.82 (EXPERIMENTAL value),4.08,3.82 (EXPERIMENTAL value),4.1,3.82 (EXPERIMENTAL value),3.76
728,Molecule 728,c1ccc2c(c1)C=CC2,2.92 (EXPERIMENTAL value),3.25,2.92 (EXPERIMENTAL value),3.17,2.92 (EXPERIMENTAL value),2.44
729,Molecule 729,n1nc2ccccc2([nH]1),1.44 (EXPERIMENTAL value),1.17,1.44 (EXPERIMENTAL value),0.97,1.44 (EXPERIMENTAL value),1.43
730,Molecule 730,c1ccc2c(c1)ccs2,3.12 (EXPERIMENTAL value),2.99,3.12 (EXPERIMENTAL value),2.77,3.12 (EXPERIMENTAL value),2.69
731,Molecule 731,n1csc2ccccc12,2.01 (EXPERIMENTAL value),2.17,2.01 (EXPERIMENTAL value),1.41,2.01 (EXPERIMENTAL value),1.91
732,Molecule 732,c1ccc2[nH]c(cc2(c1))C,2.53 (EXPERIMENTAL value),2.6,2.53 (EXPERIMENTAL value),2.07,2.53 (EXPERIMENTAL value),2.27
733,Molecule 733,n2c1ccccc1sc2SNC(C)(C)C,2.56 (LOW reliability),2.56,2.05 (LOW reliability),2.05,3.82 (LOW reliability),3.82
734,Molecule 734,c1ccc(c(c1)C)C,3.12 (EXPERIMENTAL value),3.09,3.12 (EXPERIMENTAL value),2.94,3.12 (EXPERIMENTAL value),2.8
735,Molecule 735,Oc1ccccc1C,1.95 (EXPERIMENTAL value),2.06,1.95 (EXPERIMENTAL value),1.86,1.95 (EXPERIMENTAL value),2.05
736,Molecule 736,c1ccc(c(c1)C)Cl,3.42 (EXPERIMENTAL value),3.18,3.42 (EXPERIMENTAL value),3.21,3.42 (EXPERIMENTAL value),2.98
737,Molecule 737,c1ccc(c(c1)Cl)Cl,3.43 (EXPERIMENTAL value),3.28,3.43 (EXPERIMENTAL value),3.48,3.43 (EXPERIMENTAL value),3.16
738,Molecule 738,Nc1ccccc1Cl,1.9 (EXPERIMENTAL value),1.72,1.9 (EXPERIMENTAL value),2.13,1.9 (EXPERIMENTAL value),1.75
739,Molecule 739,Nc1ccccc1C,1.32 (EXPERIMENTAL value),1.62,1.32 (EXPERIMENTAL value),1.86,1.32 (EXPERIMENTAL value),1.57
740,Molecule 740,Nc1ccccc1(N),0.15 (EXPERIMENTAL value),0.16,0.15 (EXPERIMENTAL value),0.89,0.15 (EXPERIMENTAL value),0.34
741,Molecule 741,Oc1ccccc1(N),0.62 (EXPERIMENTAL value),0.6,0.62 (EXPERIMENTAL value),0.89,0.62 (EXPERIMENTAL value),0.82
742,Molecule 742,Oc1ccccc1Br,2.35 (EXPERIMENTAL value),2.4,2.35 (EXPERIMENTAL value),2.3,2.35 (EXPERIMENTAL value),2.31
743,Molecule 743,Oc1ccccc1Cl,2.15 (EXPERIMENTAL value),2.16,2.15 (EXPERIMENTAL value),2.13,2.15 (EXPERIMENTAL value),2.23
744,Molecule 744,NC2CC2(c1ccccc1),1.54 (EXPERIMENTAL value),0.54,1.54 (EXPERIMENTAL value),1.85,1.54 (EXPERIMENTAL value),1.19
745,Molecule 745,c1cc(c(cc1C)C)C,3.63 (EXPERIMENTAL value),3.63,3.63 (EXPERIMENTAL value),3.26,3.63 (EXPERIMENTAL value),3.29
746,Molecule 746,Nc1ccc(c(c1)C)C,1.84 (EXPERIMENTAL value),2.17,1.84 (EXPERIMENTAL value),2.19,1.84 (EXPERIMENTAL value),2.06
747,Molecule 747,Oc1ccc(c(c1)C)C,2.23 (EXPERIMENTAL value),2.61,2.23 (EXPERIMENTAL value),2.19,2.23 (EXPERIMENTAL value),2.53
748,Molecule 748,Nc1ccc(cc1C)C,2.17 (GOOD reliability),2.17,2.19 (GOOD reliability),2.19,2.06 (GOOD reliability),2.06
749,Molecule 749,Oc1ccc(O)c(c1)C,0.91 (EXPERIMENTAL value),1.58,0.91 (EXPERIMENTAL value),1.25,0.91 (EXPERIMENTAL value),1.78
750,Molecule 750,c1cc(c(cc1C)Cl)C,3.86 (EXPERIMENTAL value),3.73,3.86 (EXPERIMENTAL value),3.53,3.86 (EXPERIMENTAL value),3.47
751,Molecule 751,c1cc(c(cc1Cl)Cl)C,3.83 (GOOD reliability),3.83,3.79 (GOOD reliability),3.79,3.64 (GOOD reliability),3.64
752,Molecule 752,c1cc(c(cc1C)Cl)Cl,3.83 (GOOD reliability),3.83,3.79 (GOOD reliability),3.79,3.64 (GOOD reliability),3.64
753,Molecule 753,Nc1ccc(c(c1)Cl)Cl,2.69 (EXPERIMENTAL value),2.37,2.69 (EXPERIMENTAL value),2.73,2.69 (EXPERIMENTAL value),2.41
754,Molecule 754,Oc1ccc(c(c1)Cl)Cl,3.33 (EXPERIMENTAL value),2.8,3.33 (EXPERIMENTAL value),2.73,3.33 (EXPERIMENTAL value),2.89
755,Molecule 755,Nc1cc(ccc1C)C,2.17 (GOOD reliability),2.17,2.19 (GOOD reliability),2.19,2.06 (GOOD reliability),2.06
756,Molecule 756,Nc1ccc(c(N)c1)C,0.14 (EXPERIMENTAL value),0.71,0.14 (EXPERIMENTAL value),1.25,0.14 (EXPERIMENTAL value),0.82
757,Molecule 757,Nc1cc(ccc1Cl)Cl,2.37 (MODERATE reliability),2.37,2.73 (GOOD reliability),2.73,2.41 (GOOD reliability),2.41
758,Molecule 758,Nc1ccc(cc1(N))Cl,1.28 (EXPERIMENTAL value),0.8,1.28 (EXPERIMENTAL value),1.51,1.28 (EXPERIMENTAL value),1
759,Molecule 759,Oc1ccc(cc1(N))C,1.16 (EXPERIMENTAL value),1.14,1.16 (EXPERIMENTAL value),1.25,1.16 (EXPERIMENTAL value),1.3
760,Molecule 760,Oc1ccc(cc1(N))Cl,1.81 (EXPERIMENTAL value),1.24,1.81 (EXPERIMENTAL value),1.51,1.81 (EXPERIMENTAL value),1.48
761,Molecule 761,Oc1cc(ccc1C)C,2.33 (EXPERIMENTAL value),2.61,2.33 (EXPERIMENTAL value),2.19,2.33 (EXPERIMENTAL value),2.53
762,Molecule 762,Oc1ccc(c(O)c1)Cl,1.8 (EXPERIMENTAL value),1.68,1.8 (EXPERIMENTAL value),1.51,1.8 (EXPERIMENTAL value),1.96
763,Molecule 763,n1cc(nc(c1C)Cl)C,1.5 (EXPERIMENTAL value),1.68,1.5 (EXPERIMENTAL value),0.59,1.5 (EXPERIMENTAL value),0.97
764,Molecule 764,O=C(OCC)C(=O)OCC,0.56 (EXPERIMENTAL value),0.4,0.56 (EXPERIMENTAL value),0.43,0.56 (EXPERIMENTAL value),0.72
765,Molecule 765,c1c(c(cc(c1C)C)C)C,4 (EXPERIMENTAL value),4.18,4 (EXPERIMENTAL value),3.56,4 (EXPERIMENTAL value),3.77
766,Molecule 766,c1c(c(cc(c1Cl)Cl)Cl)Cl,4.57 (GOOD reliability),4.57,4.63 (GOOD reliability),4.63,4.49 (GOOD reliability),4.49
767,Molecule 767,Oc1cc(c(cc1Cl)Cl)Cl,3.72 (EXPERIMENTAL value),3.45,3.72 (EXPERIMENTAL value),3.31,3.72 (EXPERIMENTAL value),3.56
768,Molecule 768,O1CC1c2ccccc2,1.61 (EXPERIMENTAL value),1.59,1.61 (EXPERIMENTAL value),1.53,1.61 (EXPERIMENTAL value),1.48
769,Molecule 769,C(C(CBr)Br)Cl,2.96 (EXPERIMENTAL value),2.68,2.96 (EXPERIMENTAL value),2.96,2.96 (EXPERIMENTAL value),2.49
770,Molecule 770,CCC(C)CC,3.6 (EXPERIMENTAL value),3.21,3.6 (EXPERIMENTAL value),3.52,3.6 (EXPERIMENTAL value),2.9
771,Molecule 771,C(C(CCl)Cl)Cl,2.27 (EXPERIMENTAL value),2.5,2.27 (EXPERIMENTAL value),2.6,2.27 (EXPERIMENTAL value),2.21
772,Molecule 772,O=C(CC)CC,0.99 (EXPERIMENTAL value),0.75,0.99 (EXPERIMENTAL value),1.06,0.99 (EXPERIMENTAL value),1.09
773,Molecule 773,ON=C(C)CC,0.63 (EXPERIMENTAL value),1.69,0.63 (EXPERIMENTAL value),0.59,0.63 (EXPERIMENTAL value),-0.01
774,Molecule 774,O=C(NC)NC,-0.49 (EXPERIMENTAL value),-0.62,-0.49 (EXPERIMENTAL value),-0.3,-0.49 (EXPERIMENTAL value),-0.63
775,Molecule 775,O=C(OC)C=C,0.8 (EXPERIMENTAL value),0.73,0.8 (EXPERIMENTAL value),0.48,0.8 (EXPERIMENTAL value),0.72
776,Molecule 776,CC1CCCC1,3.1 (GOOD reliability),3.1,3.12 (GOOD reliability),3.12,2.53 (MODERATE reliability),2.53
777,Molecule 777,c1cc(Cl)sc1,2.54 (EXPERIMENTAL value),2.46,2.54 (EXPERIMENTAL value),1.85,2.54 (EXPERIMENTAL value),1.95
778,Molecule 778,N1C(NCC1)=S,-0.66 (EXPERIMENTAL value),-0.49,-0.66 (EXPERIMENTAL value),-0.66,-0.66 (EXPERIMENTAL value),0.09
779,Molecule 779,O=C1OCCC1,-0.64 (EXPERIMENTAL value),-0.31,-0.64 (EXPERIMENTAL value),0.19,-0.64 (EXPERIMENTAL value),0.28
