SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction,mols,carboxylic acid,amide,ester,benzene,ketone,halogen,primary amine,secondary amine,tertiary amine,aliphatic hydroxyl,unbranched alkane >4,alkyl halide,nitrile,nitro,sulfide,sulfonamide,ether,aromatic hydroxyl,aromatic nitrogen,aromatic amine,aniline,phenol,bicyclic,rings,saturated rings,aromatic rings,consensus logp,Kowwin error,Wildman-Crippen error,Meylan-Kowwin error,MLogP error,ALogP error,consensus logp error
C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,1.17,0.73,0.9365000000000004,0.23,1.24,1.84,<rdkit.Chem.rdchem.Mol object at 0x00000184B99765E0>,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,2,0,1,0.9953000000000001,0.43999999999999995,0.23349999999999949,0.94,0.07000000000000006,0.6700000000000002,0.17469999999999986
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.07,3.66,3.817500000000003,2.31,3.01,3.73,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976650>,0,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,5,4,3,0,3.3055000000000008,0.41000000000000014,0.2524999999999973,1.7600000000000002,1.0600000000000005,0.3400000000000003,0.7644999999999995
CC(=O)Nc1cncc(C)n1,0.38,0.38,0.74342,0.45,-0.34,-0.53,<rdkit.Chem.rdchem.Mol object at 0x00000184B99766C0>,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0.14068399999999995,0.0,0.36341999999999997,0.07,0.72,0.91,0.23931600000000006
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,4.31,4.13,3.937900000000001,4.33,2.23,3.87,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976730>,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3.69958,0.17999999999999972,0.37209999999999877,0.020000000000000462,2.0799999999999996,0.4399999999999995,0.6104199999999995
COC(=O)Nc1ccc(C)cc1,2.29,2.3,2.1733200000000004,2.3,2.33,2.08,<rdkit.Chem.rdchem.Mol object at 0x00000184B99767A0>,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2.236664,0.009999999999999787,0.11667999999999967,0.009999999999999787,0.040000000000000036,0.20999999999999996,0.05333599999999983
CN(C)c1ncccn1,1.07,0.97,0.5426000000000001,0.12,0.62,0.73,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976810>,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0.59652,0.10000000000000009,0.5274,0.9500000000000001,0.45000000000000007,0.3400000000000001,0.47348
O=NN1CCNCC1,0.18,0.04,-0.427,-1.26,-0.64,-0.49,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976880>,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.5554,0.13999999999999999,0.607,1.44,0.8200000000000001,0.6699999999999999,0.7354
CNCCc1ccccn1,0.68,0.48,0.8434999999999999,0.84,0.65,0.68,<rdkit.Chem.rdchem.Mol object at 0x00000184B99768F0>,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.6987,0.20000000000000007,0.16349999999999987,0.15999999999999992,0.030000000000000027,0.0,0.01869999999999994
O=C(Nc1ccccc1)N(c1ccccc1)c1ccccc1,3.28,3.74,5.056800000000004,5.65,4.61,4.31,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976960>,0,2,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,4.673360000000001,0.4600000000000004,1.7768000000000046,2.3700000000000006,1.3300000000000005,1.0299999999999998,1.3933600000000008
O=C(NC(=O)c1ccccc1O)c1ccccc1,1.38,1.55,1.9624,2.88,2.33,2.22,<rdkit.Chem.rdchem.Mol object at 0x00000184B99769D0>,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,2.18848,0.17000000000000015,0.5824,1.5,0.9500000000000002,0.8400000000000003,0.8084800000000003
